name,price,openingStock
Advance,25,39
King,25,136
Filter,13,93
Wills,11,40
Silk,20,27
Berkily-Total,8,43
Connect,23,39
Players,4,0
Club,20,78
Liberty,7,45
Chuttalu,3,22
Wave,10,10
Beedi,1,110
Pass-Pass,1,95
Shampoo,2,60
Crane,2,87
Crane,10,9
Crane,5,8
Matchbox,1,0
Vicks,2,56
Center Fresh,1,141
Poppins,3,0
5 Star,5,12
Sastribalm,5,12
Comb - Toungecleaner,5,5
Brush,30,3
Brush,20,8
Sleepwell,15,6
Jet,4,0
Soap,5,0
Eno - Paste,10,60
Fevikwik,5,9
Kerchief,20,1
E-cap,20,0
Lighter,25,23
Lighter,13,15
Glass,2,29
Pickels,5,9
RMD,15,22
RMD,8,31
Boost,5,0
Mixture,18,0
Goodday,5,41
Goodday,10,79
Dairy,10,8
Mari gold,22,11
Dairy/Good day,30,68
Lays,20,26
Cake,30,8
Milk,15,0
Good day,25,33
Good day,40,0
Bourbon,20,19
Good day,20,8
Dark fantasy,35,17
Dark fantasy,40,21
Kinder Joy,50,17
Kinder Joy,45,16
Kinder Joy,25,22
Dairy Milk,225,5
Dairy Milk,43,6
Dairy Milk,56,13
Dairy Milk,53,1
Dairy Milk,105,6
Dairy Milk,130,3
Snickers,53,11
Lays,5,161
Lays,10,14
Lays,30,8
Lays,50,11
Plate,5,0
Pens,5,16
Pens,10,22
Hans,25,54
Vimal,6.5,243
Vimal,19,20
Chaini Kaini,27,15
Jora bull,25,0
Miraj,25,13
Mukkupodi,7,10
Madhu,25,1
Coollip,30,44
Vithanalu,9,12
Swagath,25,13
Unibic,54,2
Maaza,40,2
Water Bottle,35,8
Water Bottle,20,102
Water Bottle,10,178
Water Packets,2,48
Thumsup,23,587
Pulpy Orange,28,35
Thumsup,43,110
Thumsup,75,1
Tetra,18,0
Thumsup,105,9
Pulpy Orange,95,1
Fizz,65,0
Maaza,80,1
Soda,14,0
Soda,24,8
Tetra,13,49
M-Soda,18,25
Fizz,23,30
Mask,9,20
Pulpy Orange,38,0
Badam milk,30,6
Badam milk,35,4
Badam milk,43,3
Curd,12,0
Masala,10,0
Butter Milk,8,24
Co-Co,40,0
ORSL/Milkshake,40,20
Co-Co,60,2
Red bull,125,7
Smart water,53,1
Tins,43,8
Huggies,18,1
Huggies,22,3
Huggies,26,1
Huggies,33,4
Huggies,37,0
Huggies,50,2
Play cards,37,0
Monster,125,7
Kinley,20,14
Maaza,65,1
Predator,60,0
Sanchulu,45,0
Fizz,95,1
